key,loudness,speechiness,acousticness,instrumentalness,valence,genre,energy,danceability,tempo
3,-15.685,0.0704,0.968,0.00214,0.548,pop,0.0919,0.497,206.431
6,-14.338,0.0346,0.404,4.72e-06,0.97,pop,0.488,0.693,125.34
10,-8.562,0.0818,0.431,1.08e-06,0.9,rock,0.619,0.654,166.841
11,-3.977,0.395,0.0294,0,0.815,hip hop,0.933,0.495,173.414
6,-4.19,0.0356,0.00225,0,0.778,rock,0.948,0.535,103.183
3,-10.842,0.0372,0.152,0.00197,0.97,pop,0.655,0.771,119.747
10,-4.164,0.035,0.0658,0.00832,0.804,pop,0.856,0.729,116.467
1,-5.875,0.0443,0.00462,0.0266,0.577,pop,0.881,0.602,125.012
6,-5.972,0.045,0.408,0.000147,0.465,pop,0.615,0.719,96.988
8,-6.903,0.0676,0.00178,0.00708,0.918,rock,0.789,0.674,129.802
10,-8.736,0.0315,0.0527,0.00591,0.183,rhythmic,0.532,0.371,112.923
1,-11.381,0.0312,0.366,0.0452,0.52,pop,0.392,0.481,124.572
4,-12.156,0.0569,0.00201,2.49e-05,0.512,rock,0.861,0.397,121.856
9,-3.871,0.0719,0.00076,0.0049,0.172,rock,0.931,0.451,122.961
11,-8.18,0.279,0.00575,0,0.655,rhythmic,0.699,0.801,94.605
9,-7.912,0.0296,0.818,0,0.602,rock,0.515,0.659,149.126
2,-12.503,0.0272,0.486,0.000273,0.322,rock,0.293,0.551,106.798
7,-12.238,0.091,0.0135,0.00138,0.742,rhythmic,0.271,0.898,111.485
6,-8.85,0.0505,0.378,0.000662,0.752,rock,0.936,0.543,101.678
2,-8.123,0.0613,0.0708,0.00545,0.942,rock,0.521,0.721,123.118
0,-8.284,0.0376,0.462,0,0.623,pop,0.501,0.5,144.438
1,-9.721,0.111,0.281,3.31e-05,0.709,rhythmic,0.746,0.748,123.144
2,-13.83,0.132,0.669,0.0163,0.797,rhythmic,0.605,0.819,108.892
9,-7.516,0.0339,0.0263,0.683,0.964,pop,0.563,0.766,126.007
7,-8.521,0.0621,0.435,0.0144,0.963,rock,0.71,0.558,120.435
7,-9.655,0.0315,0.0159,0.00512,0.13,rock,0.257,0.36,76.972
2,-15.606,0.0366,0.105,0.872,0.113,rock,0.497,0.333,81.681
4,-6.057,0.0811,0.246,0.0514,0.537,pop,0.95,0.511,119.973
4,-9.091,0.0381,0.936,1.56e-05,0.813,rock,0.28,0.581,137.831
2,-6.818,0.0601,0.187,0.759,0.903,rock,0.867,0.73,126.431
7,-10.632,0.0298,0.013,0.829,0.917,pop,0.761,0.533,122.777
6,-7.576,0.0332,0.188,0,0.763,rock,0.725,0.534,95.003
1,-4.277,0.0354,0.000333,0.368,0.763,pop,0.761,0.729,130.007
0,-5.703,0.0297,0.0285,0.000198,0.767,rock,0.91,0.624,104.042
7,-7.445,0.0475,0.0453,0,0.933,pop,0.746,0.867,118.616
2,-6.231,0.0566,0.301,0.27,0.225,rock,0.92,0.686,135.027
9,-11.359,0.0323,0.449,0,0.435,rock,0.435,0.688,103.239
9,-7.717,0.0263,0.666,0.000906,0.146,pop,0.4,0.536,90.32
4,-5.946,0.269,0.143,0,0.613,hip hop,0.806,0.843,94.948
5,-6.273,0.0298,0.896,4.98e-05,0.623,pop,0.454,0.687,98.967
5,-11.702,0.0269,0.716,6.19e-05,0.846,pop,0.463,0.726,99.998
10,-10.875,0.0771,0.039,0.000905,0.62,rhythmic,0.393,0.825,98.94
7,-10.965,0.375,0.328,0.13,0.562,pop,0.425,0.701,135.128
2,-8.07,0.0426,0.000685,0,0.555,rock,0.737,0.41,134.991
5,-6.159,0.137,0.117,0,0.549,hip hop,0.463,0.854,120.024
2,-20.567,0.0509,0.914,2.32e-05,0.44,rock,0.0993,0.38,174.874
10,-14.34,0.0464,0.777,0.00103,0.744,pop,0.382,0.863,105.766
7,-10.991,0.0353,0.182,0,0.899,rock,0.586,0.496,148.882
11,-9.801,0.0272,0.513,0,0.712,rhythmic,0.435,0.534,136.895
6,-9.636,0.13,0.011,0.000122,0.708,hip hop,0.807,0.915,127.35
10,-15.559,0.033,0.897,0,0.346,pop,0.129,0.57,70.062
0,-5.808,0.0487,0.165,0,0.617,rhythmic,0.874,0.807,105.677
4,-9.973,0.05,0.702,0,0.751,rock,0.727,0.576,173.854
1,-3.71,0.0759,0.00113,0,0.239,rock,0.928,0.351,148.03
1,-15.978,0.0414,0.486,0.000242,0.37,rhythmic,0.227,0.423,143.346
6,-7.823,0.0351,0.445,3.94e-05,0.579,rock,0.708,0.588,131.197
10,-1.869,0.035,0.682,8.63e-06,0.847,rhythmic,0.791,0.527,150.04
5,-8.367,0.0352,0.313,0.185,0.15,rock,0.724,0.489,117.292
5,-12.062,0.0315,0.0219,0.00106,0.823,rock,0.812,0.597,135.68
0,-6.663,0.23,0.0625,0.000685,0.335,pop,0.717,0.48,109.756
4,-5.323,0.0441,0.237,2.81e-06,0.757,rock,0.753,0.654,102.743
9,-8.369,0.0593,0.00125,0.00111,0.532,rock,0.928,0.368,141.175
9,-8.22,0.0316,0.212,0.026,0.49,rock,0.488,0.651,113.038
0,-9.211,0.0279,0.13,0.225,0.805,rock,0.676,0.598,114.169
5,-3.958,0.117,0.0253,0.0215,0.918,pop,0.845,0.778,143.025
2,-6.548,0.0355,5.34e-05,6.97e-05,0.863,rock,0.831,0.462,75.541
9,-8.125,0.0377,0.184,0,0.958,pop,0.738,0.731,117.656
1,-2.157,0.0867,0.00625,0,0.347,pop,0.935,0.635,143.432
0,-11.241,0.0363,0.357,0,0.39,rock,0.355,0.537,113.994
11,-9.875,0.089,0.126,0.0461,0.947,rhythmic,0.821,0.878,118.881
0,-8.339,0.0322,0.631,0,0.41,rock,0.403,0.443,143.462
2,-11.696,0.14,0.85,4.04e-05,0.884,rock,0.564,0.717,84.538
5,-8.808,0.0683,0.613,0.0153,0.835,rhythmic,0.592,0.754,120.283
8,-5.114,0.0298,0.138,0,0.507,rhythmic,0.77,0.73,104.948
11,-9.958,0.076,0.0915,0,0.455,rhythmic,0.585,0.589,99.298
9,-6.761,0.0817,0.22,0.014,0.595,rhythmic,0.939,0.621,128.434
